Population,Plant,Trait,TransplantSite,TraitValue
Boega,3776-15,NumStems,Timberline,0
Boega,3776-16,StemLength,Stanford,54
Boega,3776-16,StemLength,Mather,35
Boega,3776-16,StemLength,Timberline,0
Boega,3776-16,NumStems,Stanford,29
Boega,3776-16,NumStems,Mather,11
Boega,3776-16,NumStems,Timberline,0
Boega,3776-17,StemLength,Stanford,46
Boega,3776-17,StemLength,Mather,25
Boega,3776-17,StemLength,Timberline,0
Boega,3776-17,NumStems,Stanford,18
Boega,3776-17,NumStems,Mather,20
Boega,3776-17,NumStems,Timberline,0
Boega,3776-18,StemLength,Stanford,37
Boega,3776-18,StemLength,Mather,21
Boega,3776-18,StemLength,Timberline,0
Boega,3776-18,NumStems,Stanford,19
Boega,3776-18,NumStems,Mather,8
Boega,3776-18,NumStems,Timberline,0
Boega,3776-19,StemLength,Stanford,52
Boega,3776-19,StemLength,Mather,50
Boega,3776-19,StemLength,Timberline,0
Boega,3776-19,NumStems,Stanford,14
Boega,3776-19,NumStems,Mather,64
Boega,3776-19,NumStems,Timberline,0
Boega,3776-21,StemLength,Stanford,65
Boega,3776-21,StemLength,Mather,34
Boega,3776-21,StemLength,Timberline,0
Boega,3776-21,NumStems,Stanford,15
Boega,3776-21,NumStems,Mather,24
Boega,3776-21,NumStems,Timberline,0
Boega,3776-22,StemLength,Stanford,69
Boega,3776-22,StemLength,Mather,41
Boega,3776-22,StemLength,Timberline,0
Boega,3776-22,NumStems,Stanford,32
Boega,3776-22,NumStems,Mather,23
Boega,3776-22,NumStems,Timberline,0
Boega,3776-23,StemLength,Stanford,40
Boega,3776-23,StemLength,Mather,35
Boega,3776-23,StemLength,Timberline,0
Boega,3776-23,NumStems,Stanford,7
Boega,3776-23,NumStems,Mather,47
Boega,3776-23,NumStems,Timberline,0
Boega,3776-24,StemLength,Stanford,45
Boega,3776-24,StemLength,Mather,29
Boega,3776-24,StemLength,Timberline,0
Boega,3776-24,NumStems,Stanford,9
Boega,3776-24,NumStems,Mather,9
Boega,3776-24,NumStems,Timberline,0
Boega,3776-25,StemLength,Stanford,42
Boega,3776-25,StemLength,Mather,21
Boega,3776-25,StemLength,Timberline,0
Boega,3776-25,NumStems,Stanford,7
Boega,3776-25,NumStems,Mather,3
Boega,3776-25,NumStems,Timberline,0
Boega,3776-26,StemLength,Stanford,63
Boega,3776-26,StemLength,Mather,0
Boega,3776-26,StemLength,Timberline,0
Boega,3776-26,NumStems,Stanford,6
Boega,3776-26,NumStems,Mather,0
Boega,3776-26,NumStems,Timberline,0
Boega,3776-27,StemLength,Stanford,42
Boega,3776-27,StemLength,Mather,35
Boega,3776-27,StemLength,Timberline,0
Boega,3776-27,NumStems,Stanford,16
Boega,3776-27,NumStems,Mather,33
Boega,3776-27,NumStems,Timberline,0
Boega,3776-28,StemLength,Stanford,30
Boega,3776-28,StemLength,Mather,18
Boega,3776-28,StemLength,Timberline,0
Boega,3776-28,NumStems,Stanford,14
Boega,3776-28,NumStems,Mather,0.3
Boega,3776-28,NumStems,Timberline,0
Boega,3776-29,StemLength,Stanford,22
Boega,3776-29,StemLength,Mather,34
Boega,3776-29,StemLength,Timberline,0
Boega,3776-29,NumStems,Stanford,23
Boega,3776-29,NumStems,Mather,21
Boega,3776-29,NumStems,Timberline,0
Boega,3776-30,StemLength,Stanford,50
Boega,3776-30,StemLength,Mather,18
Boega,3776-30,StemLength,Timberline,0
Boega,3776-30,NumStems,Stanford,16
Boega,3776-30,NumStems,Mather,18
Boega,3776-30,NumStems,Timberline,0
Boega,3776-31,StemLength,Stanford,65
Boega,3776-31,StemLength,Mather,0
Boega,3776-31,StemLength,Timberline,0
Boega,3776-31,NumStems,Stanford,34
Boega,3776-31,NumStems,Mather,0
Boega,3776-31,NumStems,Timberline,0
